product_id,name,description,category,price,sku
PROD1,"Awesome T-Shirt","A really cool t-shirt","Apparel",25.99,"TSHIRT-001"
PROD2,"Super Jeans","Comfortable and stylish jeans","Apparel",59.99,"JEANS-002"
PROD3,"Amazing Coffee Maker","Brew delicious coffee at home","Home Goods",79.50,"CM-003"
PROD4,"Fantastic Book","A captivating novel","Books",12.75,"BOOK-004"
PROD5,"Awesome T-Shirt","Another awesome t-shirt","APPAREL",25.99,"TSHIRT-001"
PROD6,"Ergonomic Mouse","Comfortable mouse for long work sessions","Electronics",35.00,"EM-006"
PROD7,"Super Jeans","High-quality denim jeans","Apparel",59.99,"JEANS-002"
PROD8,"Broken Toaster","A faulty toaster","Home Goods",-5.00,"TOASTER-008"
PROD9,"Mystery Novel","A thrilling page-turner","Books",10.00,"BOOK-009"
PROD10,"Smart Watch","Wearable technology with many features","Electronics",199.00,"SW-010"
PROD11,"Running Shoes","Lightweight and comfortable for running","Apparel",89.00,"RS-011"
PROD12,"Blender Pro","Powerful blender for smoothies and more","Home Goods",129.99,"BP-012"
PROD13,"Science Fiction","A thought-provoking sci-fi novel","Books",15.50,"SF-013"
PROD14,"Wireless Keyboard","Sleek and convenient wireless keyboard","Electronics",45.00,"WK-014"
PROD15,"Casual Shirt","Comfortable shirt for everyday wear","Apparel",30.00,"CS-015"
PROD16,"Electric Kettle","Boil water quickly and easily","Home Goods",29.95,"EK-016"
PROD17,"Thriller Novel","A suspenseful and exciting thriller","Books",11.25,"TH-017"
PROD18,"Gaming Headset","Immersive headset for gaming","Electronics",79.00,"GH-018"
PROD19,"Denim Jacket","Classic denim jacket for all seasons","Apparel",75.00,"DJ-019"
PROD20,"Food Processor","Versatile food processor for cooking","Home Goods",149.00,"FP-020"
PROD21,"Historical Fiction","An engaging historical novel","Books",13.99,"HF-021"
PROD22,"Bluetooth Speaker","Portable speaker with great sound","Electronics",55.00,"BS-022"
PROD23,"Sweater","Warm and cozy sweater","Apparel",45.50,"SW-023"
PROD24,"Microwave Oven","Convenient microwave for heating food","Home Goods",89.99,"MO-024"
PROD25,"Cookbook","A collection of delicious recipes","Books",18.00,"CB-025"
PROD26,"USB Drive","Portable storage device","Electronics",12.50,"UD-026"
PROD27,"Dress Pants","Formal and stylish dress pants","Apparel",65.00,"DP-027"
PROD28,"Vacuum Cleaner","Powerful vacuum for cleaning your home","Home Goods",179.00,"VC-028"
PROD29,"Biography","An inspiring biography","Books",16.75,"BG-029"
PROD30,"Webcam","High-definition webcam for video calls","Electronics",49.99,"WC-030"
PROD31,"Polo Shirt","Classic polo shirt for a smart look","Apparel",38.00,"PS-031"
PROD32,"Air Fryer","Healthy way to fry food with less oil","Home Goods",99.00,"AF-032"
PROD33,"Poetry Collection","A beautiful collection of poems","Books",9.99,"PC-033"
PROD34,"External Hard Drive","Large capacity external storage","Electronics",119.00,"HD-034"
PROD35,"Skirt","Stylish skirt for various occasions","Apparel",42.00,"SK-035"
PROD36,"Slow Cooker","Cook delicious meals with minimal effort","Home Goods",69.50,"SC-036"
PROD37,"Self-Help Book","A guide to personal development","Books",14.25,"SH-037"
PROD38,"Tablet","Portable tablet for entertainment and work","Electronics",299.00,"TB-038"
PROD39,"Cardigan","Warm and comfortable cardigan","Apparel",52.00,"CD-039"
PROD40,"Espresso Machine","Make barista-quality espresso at home","Home Goods",249.00,"EM-040"
PROD41,"Travel Guide","A comprehensive guide to a destination","Books",17.50,"TG-041"
PROD42,"Noise-Cancelling Headphones","Immersive audio experience","Electronics",149.99,"NH-042"
PROD43,"Leggings","Comfortable and versatile leggings","Apparel",28.00,"LG-043"
PROD44,"Iron","Keep your clothes wrinkle-free","Home Goods",39.00,"IR-044"
PROD45,"Short Story Collection","A collection of engaging short stories","Books",10.50,"SC-045"
PROD46,"Smart Speaker","Voice-controlled smart assistant","Electronics",79.00,"SS-046"
PROD47,"Blouse","Elegant blouse for formal occasions","Apparel",48.00,"BL-047"
PROD48,"Waffle Maker","Make delicious waffles at home","Home Goods",35.00,"WM-048"
PROD49,"Science Book","An informative science book","Books",19.25,"SB-049"
PROD50,"Fitness Tracker","Track your activity and health metrics","Electronics",69.00,"FT-050"
PROD51,"Beanie","Warm and stylish beanie","Apparel",18.00,"BN-051"
PROD52,"Juicer","Make fresh and healthy juices","Home Goods",119.00,"JU-052"
